1-ша	перша
1-ше	перше
1-й	перший
1-м	першим
1-ми	першими
1-х	перших
1-го	першого
1-му	першому
1-ю	першою
1-ї	першої
1-шу	першу
1-ші	перші
1-й	першій
1-м	першім
2-га	друга
2-ге	друге
2-й	другий
2-м	другим
2-ми	другими
2-х	других
2-го	другого
2-му	другому
2-ю	другою
2-ї	другої
2-гу	другу
2-гі	другі
2-й	другій
2-м	другім
3-го	третього
3-му	третьому
3-ю	третьою
3-ї	третьої
3-ю	третю
3-я	третя
3-є	третє
3-ті	треті
3-й	третій
3-м	третім
3-ми	третіми
3-х	третіх
4-та	четверта
4-те	четверте
4-й	четвертий
4-м	четвертим
4-ми	четвертими
4-х	четвертих
4-го	четвертого
4-му	четвертому
4-ю	четвертою
4-ї	четвертої
4-ту	четверту
4-ті	четверті
4-й	четвертій
4-м	четвертім
5-та	п'ята
5-те	п'яте
5-й	п'ятий
5-м	п'ятим
5-ми	п'ятими
5-х	п'ятих
5-го	п'ятого
5-му	п'ятому
5-ю	п'ятою
5-ї	п'ятої
5-ту	п'яту
5-ті	п'яті
5-й	п'ятій
5-м	п'ятім
6-та	шоста
6-те	шосте
6-й	шостий
6-м	шостим
6-ми	шостими
6-х	шостих
6-го	шостого
6-му	шостому
6-ю	шостою
6-ї	шостої
6-ту	шосту
6-ті	шості
6-й	шостій
6-м	шостім
7-ма	сьома
7-ме	сьоме
7-й	сьомий
7-м	сьомим
7-ми	сьомими
7-х	сьомих
7-го	сьомого
7-му	сьомому
7-ю	сьомою
7-ї	сьомої
7-му	сьому
7-мі	сьомі
7-й	сьомій
7-м	сьомім
8-ма	восьма
8-ме	восьме
8-й	восьмий
8-м	восьмим
8-ми	восьмими
8-х	восьмих
8-го	восьмого
8-му	восьмому
8-ю	восьмою
8-ї	восьмої
8-му	восьму
8-мі	восьмі
8-й	восьмій
8-м	восьмім
9-та	дев'ята
9-те	дев'яте
9-й	дев'ятий
9-м	дев'ятим
9-ми	дев'ятими
9-х	дев'ятих
9-го	дев'ятого
9-му	дев'ятому
9-ю	дев'ятою
9-ї	дев'ятої
9-ту	дев'яту
9-ті	дев'яті
9-й	дев'ятій
9-м	дев'ятім
